#{"t_start": 1639605874.8866038, "env_id": null}
r,l,t
-4,927,1.104465
-5,722,2.165964
-5,486,2.793788
-5,460,3.295011
-5,516,3.905275
-5,803,4.726976
-5,407,5.338518
-5,549,5.848336
-5,583,6.623577
-5,528,7.099899
-5,480,7.773998
-5,605,8.336942
-5,544,9.06143
-5,516,9.532661
-4,529,10.246115
-4,605,10.933379
-5,694,11.665596
-5,623,12.47886
-5,578,13.042235
-5,611,13.841189
-5,501,14.313361
-5,966,15.488264
-4,853,16.520948
-5,588,17.309936
-5,486,17.759783
-4,695,18.672445
-5,505,19.132367
-5,407,19.756272
-4,726,20.597399
-5,719,21.434969
-5,472,22.23484
-5,531,22.805855
-5,668,24.058048
-5,450,24.584762
-5,822,25.833782
-5,711,26.883016
-5,485,27.422404
-5,872,28.683411
-5,658,29.686868
-5,447,30.251019
-5,580,30.96835
-5,652,31.685242
