#{"t_start": 1639654336.9164536, "env_id": null}
r,l,t
-5,582,0.669455
-5,618,1.636342
-5,659,2.383726
-5,429,3.107157
-5,543,3.722069
-5,604,4.563261
-5,398,5.055775
-5,583,5.893636
-5,482,6.447169
-5,787,7.665205
-5,453,8.305108
-5,554,11.047567
-5,468,11.628414
-5,487,12.615351
-5,518,13.230569
-4,599,14.123841
-4,498,14.859245
-5,645,15.51185
-5,564,16.314433
-5,671,17.11913
-5,480,17.870025
-5,656,19.175649
-3,702,20.214377
-5,573,21.058444
-5,461,21.559349
-4,892,22.664252
-5,542,23.407552
-5,407,23.81125
-4,725,24.648955
-5,604,25.233535
-5,510,25.886245
-5,494,26.35931
-5,691,27.186129
-5,405,27.566596
-5,598,28.291426
-5,624,29.082018
-5,385,29.572387
-5,863,30.805007
-5,566,31.378929
-5,447,31.959135
-5,641,32.583942
-5,663,33.981774
-5,523,34.807382
-4,636,35.467297
-5,613,36.252307
-5,677,36.978455
-5,723,37.938041
-5,748,39.046254
-5,389,39.536337
-5,597,40.368774
-5,806,41.768106
-5,539,42.282763
-5,659,43.193821
-5,787,44.393694
-4,662,45.044262
-5,507,45.695133
-5,660,46.317721
-5,592,47.03702
-5,485,47.492933
-5,418,48.04102
-5,539,48.578773
-5,628,49.482363
-5,548,50.113897
-5,514,50.940893
-4,718,52.093857
-5,645,53.222351
-5,594,54.020341
-5,689,54.912874
-5,620,55.554697
-5,738,56.517549
-5,479,56.976071
-5,609,57.689723
-5,566,58.282377
-5,744,59.622197
-5,821,60.586697
-5,433,60.998378
-5,542,61.642716
-4,903,62.691242
-5,642,63.626406
-5,554,64.620993
-5,638,65.360734
-5,550,65.889564
-5,633,66.650577
-4,723,67.525966
-5,535,68.506824
-5,481,69.372117
-5,708,70.446337
-5,599,71.323489
-5,537,71.949251
-5,677,72.766672
-5,561,73.305439
-5,406,73.841684
-5,607,74.399661
-5,668,75.284146
-5,777,76.481041
-5,495,77.301347
-5,591,78.222707
-5,552,78.737173
-5,663,79.530181
-5,546,80.335644
-5,588,80.93888
-5,674,81.806178
-5,519,82.618943
-5,435,83.562556
-5,557,84.145093
-5,477,84.740087
-5,1035,86.182726
-5,395,86.617318
-4,556,87.343546
-4,682,88.077225
-5,593,88.911204
-4,733,89.968086
-5,448,90.538783
-5,674,91.856128
-5,510,92.475606
-5,525,93.236405
