time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
781,588.0,-5.0,1,1,1024,,,,,,,,,,,,
680,501.75,-5.0,2,3,2048,0.2,0.08649378269910812,0.0,10,-0.0005749850650317967,-2.0794175386428835,9.99998976e-05,5.260145e-05,-0.04738199710845947,0.19696708917617797,,
698,519.8,-5.0,3,4,3072,0.2,0.07283345609903336,0.0,20,-0.00030449475161731243,-2.079353427886963,9.999979520000001e-05,2.9524963e-05,-0.22139275074005127,0.16395389288663864,,
636,509.57142857142856,-5.0,4,6,4096,0.2,0.04885316267609596,0.0,30,-0.0003428037278354168,-2.079227876663208,9.99996928e-05,2.6244263e-05,0.19956684112548828,0.11411914229393005,,
518,510.77777777777777,-5.0,5,9,5120,0.2,0.059698235243558884,0.0,40,-0.00023743624333292246,-2.079058122634888,9.999959040000001e-05,3.284932e-05,-0.4033147096633911,0.1340647406876087,,
529,513.5454545454545,-5.0,6,11,6144,0.2,0.04142434149980545,0.0,50,-0.00018010814674198627,-2.078970170021057,9.9999488e-05,1.4560646e-05,0.12237191200256348,0.0955131970345974,,
528,511.15384615384613,-5.0,7,13,7168,0.2,0.03512316569685936,0.0,60,-0.0001799122546799481,-2.0788824558258057,9.999938560000001e-05,1.3991084e-05,-0.05543696880340576,0.07778435871005059,,
550,514.4,-5.0,8,14,8192,0.2,0.027449173852801323,0.0,70,-0.0002656306838616729,-2.078914523124695,9.99992832e-05,1.863105e-05,0.20535022020339966,0.06079085096716881,,
568,525.0588235294117,-4.882352941176471,9,16,9216,0.2,0.042782027274370193,0.0,80,-0.00032590210903435943,-2.0789985179901125,9.99991808e-05,2.1486834e-05,0.22393029928207397,0.0963167242705822,,
587,528.1578947368421,-4.894736842105263,10,17,10240,0.2,0.038293853402137756,0.0,90,-0.00047565128188580273,-2.0790430068969727,9.99990784e-05,3.1559786e-05,0.024453043937683105,0.08427055776119233,,
603,534.5714285714286,-4.904761904761905,11,18,11264,0.2,0.016113104298710823,0.0,100,-0.00016421847976744175,-2.078968358039856,9.9998976e-05,2.35943e-05,0.5543672144412994,0.03516664728522301,,
615,540.8181818181819,-4.909090909090909,12,19,12288,0.2,0.025249551981687546,0.0,110,-0.00024986970238387584,-2.0787899494171143,9.999887360000001e-05,2.3974048e-05,0.20679157972335815,0.05374227315187454,,
622,559.8260869565217,-4.826086956521739,13,21,13312,0.2,0.03132962808012962,0.0,120,-0.00016199962701648473,-2.0786458253860474,9.99987712e-05,1.4120422e-05,-0.02005314826965332,0.06912837252020836,,
628,561.12,-4.84,14,22,14336,0.2,0.027112482115626335,0.0,130,-5.3172977641224864e-05,-2.078562784194946,9.99986688e-05,8.8042e-06,0.301227331161499,0.05729041360318661,,
640,567.7407407407408,-4.814814814814815,15,23,15360,0.2,0.026563674211502075,0.0,140,-0.00021098663564771413,-2.0784602403640746,9.999856640000001e-05,1.5283644e-05,0.08280837535858154,0.058412423729896544,,
653,562.0,-4.821428571428571,16,25,16384,0.2,0.019450899213552475,0.0,150,-0.0003756136167794466,-2.078436088562012,9.9998464e-05,4.5700057e-05,0.5366179645061493,0.041645365208387373,,
664,570.7333333333333,-4.8,17,26,17408,0.2,0.020338010042905807,0.0,160,-0.0001925413031131029,-2.078199028968811,9.99983616e-05,2.8767681e-05,0.5122023224830627,0.04396955743432045,,
674,566.5625,-4.8125,18,27,18432,0.2,0.013967263512313366,0.0,170,-0.00037072348641231656,-2.0781885623931884,9.99982592e-05,3.0155294e-05,0.6172564327716827,0.03090608399361372,,
683,560.1764705882352,-4.823529411764706,19,28,19456,0.2,0.012959233485162258,0.0,180,-0.00037175908219069245,-2.0778690814971923,9.999815680000001e-05,4.630373e-05,0.6743037402629852,0.02872445061802864,,
691,563.8333333333334,-4.833333333333333,20,29,20480,0.2,0.015103467740118504,0.0,190,-0.0003046995960175991,-2.0776020288467407,9.999805440000001e-05,3.407948e-05,0.7270599603652954,0.03364521712064743,,
697,565.3947368421053,-4.842105263157895,21,30,21504,0.2,0.012494686059653759,0.0,200,-0.0005207608221098781,-2.077391171455383,9.9997952e-05,5.4002623e-05,0.7285206317901611,0.027748658508062362,,
704,567.5384615384615,-4.846153846153846,22,31,22528,0.2,0.014764133840799332,0.0,210,-0.0004189808503724635,-2.0761116981506347,9.999784960000001e-05,6.747752e-05,0.6750486493110657,0.032250158861279486,,
709,565.829268292683,-4.853658536585366,23,33,23552,0.2,0.01230713538825512,0.0,220,-0.0005649198545143008,-2.0765048027038575,9.99977472e-05,7.178454e-05,0.669503778219223,0.027265824377536774,,
716,565.5581395348837,-4.8604651162790695,24,34,24576,0.2,0.012555369175970554,0.0,230,-0.00039771124720573426,-2.0752371549606323,9.99976448e-05,6.6472625e-05,0.745485931634903,0.02719718385487795,,
722,571.1363636363636,-4.840909090909091,25,35,25600,0.2,0.021964022889733315,0.0,240,-0.0002643444458954036,-2.073702025413513,9.99975424e-05,5.3256692e-05,0.6829257905483246,0.0469271831214428,,
727,574.0434782608696,-4.8478260869565215,26,36,26624,0.2,0.011555276811122894,0.0,250,-0.0003419592045247555,-2.0742847204208372,9.999744000000002e-05,4.1810505e-05,0.7178208231925964,0.024795228987932204,,
733,571.7708333333334,-4.854166666666667,27,37,27648,0.2,0.012988678179681301,0.0,260,-0.0004743956495076418,-2.073592758178711,9.999733760000001e-05,5.4176664e-05,0.6522570550441742,0.028914982452988625,,
