time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/loss,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate,train/clip_fraction,train/value_loss
1,1024,621,1,-5.0,540.0,,,,,,,,,,
2,2048,494,4,-5.0,503.75,-2.0794206142425535,10,-0.0006945735076442361,0.06213255599141121,-0.8818361759185791,0.2,4.577986e-05,9.99998976e-05,0.0,0.1449285626411438
3,3072,535,5,-5.0,511.8,-2.079345631599426,20,-7.072403095662594e-05,0.04750867187976837,-0.7243683338165283,0.2,1.4910358e-05,9.999979520000001e-05,0.0,0.1104123905301094
4,4096,569,7,-5.0,508.625,-2.0793514013290406,30,-0.0003334410488605499,0.0499003566801548,-1.4948344230651855,0.2,2.8345617e-05,9.99996928e-05,0.0,0.11472347155213355
5,5120,586,8,-5.0,505.6666666666667,-2.079233908653259,40,-0.0005512380274012684,0.024652717635035515,0.017477452754974365,0.2,3.403629e-05,9.999959040000001e-05,0.0,0.062242114543914796
6,6144,597,10,-5.0,511.4166666666667,-2.079147148132324,50,-1.014024019241333e-06,0.030329830944538116,-0.34636473655700684,0.2,1.2750854e-05,9.9999488e-05,0.0,0.06763488501310348
7,7168,603,11,-5.0,518.3076923076923,-2.0790297031402587,60,-0.0002761851763352752,0.02043544501066208,0.03544807434082031,0.2,2.47375e-05,9.999938560000001e-05,0.0,0.04782210029661656
8,8192,606,13,-5.0,521.8,-2.0789012908935547,70,-6.733476184308528e-05,0.020246487110853195,0.10315418243408203,0.2,6.093702e-06,9.99992832e-05,0.0,0.04389389455318451
9,9216,612,15,-4.882352941176471,528.5882352941177,-2.0789690256118774,80,-0.0002045444678515196,0.02812827005982399,0.07211261987686157,0.2,1.05044455e-05,9.99991808e-05,0.0,0.06099119074642658
10,10240,618,16,-4.888888888888889,542.3888888888889,-2.0789910793304442,90,-0.0002103036968037486,0.018529830500483513,0.2513160705566406,0.2,1.36819435e-05,9.99990784e-05,0.0,0.04189155772328377
11,11264,623,18,-4.9,551.15,-2.0789870977401734,100,-0.00017899193335324526,0.017697589471936226,0.21087753772735596,0.2,1.2018019e-05,9.9998976e-05,0.0,0.03898888155817985
12,12288,623,19,-4.909090909090909,554.5909090909091,-2.0790028095245363,110,-0.0003012935630977154,0.013570320792496204,0.36320406198501587,0.2,1.888629e-05,9.999887360000001e-05,0.0,0.032198467291891575
13,13312,628,21,-4.826086956521739,566.0869565217391,-2.078923153877258,120,-0.0006276343599893152,0.01645151525735855,0.3860936164855957,0.2,4.7316193e-05,9.99987712e-05,0.0,0.03730293586850166
14,14336,629,22,-4.84,561.56,-2.0786967277526855,130,-0.0002419255906715989,0.023105543106794357,0.4625791311264038,0.2,4.5710243e-05,9.99986688e-05,0.0,0.04939311295747757
15,15360,631,24,-4.814814814814815,562.1111111111111,-2.078704905509949,140,-0.0001749632298015058,0.01566661335527897,0.5742273926734924,0.2,2.398016e-05,9.999856640000001e-05,0.0,0.03396417610347271
16,16384,635,25,-4.793103448275862,563.9310344827586,-2.078476667404175,150,-0.00011196820996701717,0.01916593313217163,0.5931757390499115,0.2,9.192212e-06,9.9998464e-05,0.0,0.040668960288167
17,17408,638,27,-4.8,566.5333333333333,-2.0782343626022337,160,-0.00041582672856748103,0.013063579797744751,0.7740787863731384,0.2,2.7827045e-05,9.99983616e-05,0.0,0.028612474352121352
18,18432,638,28,-4.8125,562.15625,-2.0778058767318726,170,-0.00022923973156139255,0.015743959695100784,0.6694141626358032,0.2,2.7919887e-05,9.99982592e-05,0.0,0.03312524519860745
19,19456,639,30,-4.823529411764706,556.4411764705883,-2.0779916524887083,180,-0.0001281768549233675,0.013058112934231758,0.7312184572219849,0.2,9.856129e-06,9.999815680000001e-05,0.0,0.02828136198222637
20,20480,642,31,-4.833333333333333,559.9444444444445,-2.0776328563690187,190,-0.00016892089042812585,0.01541181467473507,0.7178649008274078,0.2,1.1329423e-05,9.999805440000001e-05,0.0,0.03363548368215561
21,21504,643,33,-4.842105263157895,564.2631578947369,-2.0776374340057373,200,-0.0003676935564726591,0.01747249998152256,0.6521054804325104,0.2,2.260314e-05,9.9997952e-05,0.0,0.037506363540887835
22,22528,645,34,-4.85,561.425,-2.0772624969482423,210,-6.743371486663818e-05,0.010763868689537048,0.7382908165454865,0.2,1.064979e-05,9.999784960000001e-05,0.0,0.02356897909194231
23,23552,643,36,-4.853658536585366,560.560975609756,-2.077769947052002,220,-0.0002931060385890305,0.010410897433757782,0.7619440108537674,0.2,2.5086803e-05,9.99977472e-05,0.0,0.022948639839887618
24,24576,642,38,-4.8604651162790695,562.6744186046511,-2.077036738395691,230,-0.00040247838478535414,0.023143338039517403,0.4837891459465027,0.2,6.0716644e-05,9.99976448e-05,0.0,0.04970215335488319
25,25600,641,39,-4.844444444444444,565.1333333333333,-2.0763102054595945,240,-0.00026756618171930313,0.020369471982121468,0.6523433923721313,0.2,3.5364006e-05,9.99975424e-05,0.0,0.043266254290938375
26,26624,640,41,-4.8478260869565215,566.3260869565217,-2.0756662130355834,250,-5.562566220760345e-05,0.011971990577876568,0.6894772052764893,0.2,1.439848e-05,9.999744000000002e-05,0.0,0.02489726021885872
27,27648,638,43,-4.854166666666667,571.4583333333334,-2.0764157295227053,260,-0.00012900938745588064,0.023619504645466805,0.48851436376571655,0.2,7.084396e-06,9.999733760000001e-05,0.0,0.04868368245661259
28,28672,638,44,-4.84,571.66,-2.0760916233062745,270,-0.000142504193354398,0.017093556001782417,0.5846601128578186,0.2,9.01724e-06,9.99972352e-05,0.0,0.037093568593263626
29,29696,639,46,-4.8431372549019605,573.2745098039215,-2.0757800340652466,280,-0.00043534936849027873,0.013197853229939938,0.7502292543649673,0.2,3.706588e-05,9.99971328e-05,0.0,0.02885062452405691
30,30720,640,47,-4.849056603773585,573.8301886792453,-2.0747259616851808,290,-0.000714233925100416,0.014867803081870079,0.5324725210666656,0.2,9.416067e-05,9.999703040000001e-05,0.0,0.03406124860048294
31,31744,642,49,-4.8545454545454545,575.6545454545454,-2.0741919040679933,300,-0.00015625610249117016,0.012596601620316505,0.7218612730503082,0.2,3.7894584e-05,9.9996928e-05,0.0,0.0269919503480196
32,32768,642,50,-4.859649122807017,571.9298245614035,-2.0708938598632813,310,-0.0002976850839331746,0.010107613168656826,0.7392954230308533,0.2,3.6809593e-05,9.999682560000001e-05,0.0,0.0231014147400856
33,33792,641,52,-4.862068965517241,572.2758620689655,-2.0727365970611573,320,-0.0005395437590777874,0.011095788329839706,0.7514865398406982,0.2,9.3834475e-05,9.99967232e-05,0.0,0.025960255227983
34,34816,642,54,-4.85,572.7,-2.0716340065002443,330,-0.0003600220428779721,0.019577939063310623,0.5876555442810059,0.2,6.675761e-05,9.999662080000001e-05,0.0,0.04220981486141682
35,35840,641,55,-4.854838709677419,574.0806451612904,-2.0708226203918456,340,-0.00047371042892336846,0.01051710732281208,0.7469128668308258,0.2,5.51283e-05,9.99965184e-05,0.0,0.02361374590545893
36,36864,642,57,-4.859375,569.0,-2.068920135498047,350,-0.00044837655732408164,0.01029882114380598,0.6982361972332001,0.2,7.62656e-05,9.9996416e-05,0.0,0.022884586453437807
37,37888,643,58,-4.863636363636363,571.9242424242424,-2.070392060279846,360,-0.00039667952805757525,0.01306096464395523,0.7051388919353485,0.2,6.409886e-05,9.999631360000001e-05,0.0,0.028495100885629655
38,38912,644,60,-4.867647058823529,571.7058823529412,-2.0643794536590576,370,-0.0006042497465386987,0.008788431994616985,0.7839984595775604,0.2,0.00010038307,9.99962112e-05,0.0,0.02077282015234232
39,39936,644,62,-4.869565217391305,573.536231884058,-2.062375545501709,380,-0.00022000928875058888,0.01258198544383049,0.7229812145233154,0.2,5.916931e-05,9.999610880000001e-05,0.0,0.026862910389900206
40,40960,644,63,-4.873239436619718,576.0140845070423,-2.0595218896865846,390,-0.00043212983291596174,0.009643055498600006,0.7046600878238678,0.2,2.3121247e-05,9.99960064e-05,0.0,0.02231174260377884
41,41984,645,64,-4.875,576.4027777777778,-2.0651695013046263,400,-0.0001718331826850772,0.012862994335591793,0.6625029444694519,0.2,4.3021282e-05,9.9995904e-05,0.0,0.027048185653984546
42,43008,647,66,-4.878378378378378,577.8108108108108,-2.066316032409668,410,-0.00017727757804095746,0.011172907426953316,0.7290533781051636,0.2,1.4623103e-05,9.999580160000001e-05,0.0,0.024108057655394078
43,44032,647,68,-4.881578947368421,578.9342105263158,-2.0600185871124266,420,-0.00035686627961695194,0.005246253684163094,0.8487810492515564,0.2,3.486534e-05,9.99956992e-05,0.0,0.0128125861287117
44,45056,648,69,-4.883116883116883,579.8311688311688,-2.0647569417953493,430,-0.0002608970273286104,0.011336449533700943,0.7442055642604828,0.2,3.1377014e-05,9.99955968e-05,0.0,0.02441844381392002
45,46080,648,71,-4.871794871794871,584.1666666666666,-2.062810754776001,440,-0.00034465670469217,0.00951886922121048,0.772057518362999,0.2,4.1284133e-05,9.99954944e-05,0.0,0.02088513448834419
46,47104,649,72,-4.8625,587.6375,-2.060512828826904,450,-0.0005339202005416154,0.018434565514326096,0.6369107067584991,0.2,8.8522094e-05,9.999539200000001e-05,0.0,0.040983837097883224
47,48128,649,74,-4.864197530864198,589.8271604938271,-2.0626688480377195,460,-0.0004825868760235608,0.008205486461520195,0.7814941108226776,0.2,0.00012459717,9.999528960000001e-05,0.0,0.019105861894786358
48,49152,650,75,-4.867469879518072,587.8795180722891,-2.0596240043640135,470,-0.00021348290611058473,0.012028336524963379,0.7666610330343246,0.2,4.867377e-05,9.99951872e-05,0.0,0.026097386516630648
49,50176,650,77,-4.847058823529411,588.8352941176471,-2.06120228767395,480,-0.00027609001845121386,0.016130512580275536,0.7230327129364014,0.2,2.610893e-05,9.999508480000001e-05,0.0,0.034256312623620035
50,51200,651,78,-4.850574712643678,585.4367816091954,-2.0599332571029665,490,-0.0007516226964071393,0.010520102456212044,0.7998490929603577,0.2,7.645704e-05,9.99949824e-05,0.0,0.025953787192702294
51,52224,651,80,-4.853932584269663,585.2471910112359,-2.061221694946289,500,-0.0011062352918088437,0.007858074270188808,0.8125629425048828,0.2,0.00014024577,9.999488e-05,0.0,0.02168365828692913
52,53248,652,81,-4.857142857142857,583.2087912087912,-2.0522719860076903,510,-0.00042594789993017913,0.00983478594571352,0.8470489233732224,0.2,9.198923e-05,9.999477760000001e-05,0.0,0.023009331710636616
53,54272,652,83,-4.860215053763441,582.2795698924731,-2.059249186515808,520,-0.00014054619241505862,0.012379755266010761,0.7620317041873932,0.2,8.0594036e-05,9.999467520000002e-05,0.0,0.02665688619017601
54,55296,652,84,-4.861702127659575,582.0851063829788,-2.056425762176514,530,-0.00017201942391693593,0.010933891870081425,0.7542253732681274,0.2,4.461524e-05,9.999457280000001e-05,0.0,0.02397380266338587
55,56320,651,86,-4.864583333333333,582.375,-2.05013644695282,540,-0.00023326202062889934,0.007249970454722643,0.8479584604501724,0.2,2.0065403e-05,9.99944704e-05,0.0,0.016025292314589025
56,57344,651,88,-4.86734693877551,583.3775510204082,-2.046509265899658,550,-0.0003884754609316587,0.01236006524413824,0.6507319808006287,0.2,4.161388e-05,9.9994368e-05,0.0,0.02849951907992363
57,58368,649,89,-4.87,582.54,-2.051991319656372,560,-0.0003200238337740302,0.011657092720270157,0.7202702760696411,0.2,5.3968863e-05,9.99942656e-05,0.0,0.02584126442670822
58,59392,649,91,-4.86,586.59,-2.051121687889099,570,-0.000267813797108829,0.008664872497320175,0.7434210181236267,0.2,3.057532e-05,9.99941632e-05,0.0,0.02019864972680807
59,60416,650,92,-4.86,586.11,-2.0446266889572144,580,-0.00027039684355258944,0.020405016839504242,0.616072803735733,0.2,3.5597943e-05,9.99940608e-05,0.0,0.04615563116967678
60,61440,650,94,-4.86,587.35,-2.0563419580459597,590,-0.00012512668035924435,0.011462735012173653,0.7281406819820404,0.2,2.4988549e-05,9.99939584e-05,0.0,0.02355257011950016
