#{"t_start": 1639089809.6988065, "env_id": "SlimeVolley-v0"}
r,l,t
-4,798,1.855349
-5,432,2.313586
-5,491,2.824454
-5,383,5.493641
-5,541,6.194405
-5,406,6.664457
-5,591,7.480174
-5,711,10.909052
-5,401,11.38553
-5,580,12.090955
-5,521,12.652879
-5,553,15.373049
-5,458,16.053751
-5,611,17.056213
-5,482,17.658173
-5,480,20.306669
-5,491,20.82386
-5,422,21.255041
-5,579,21.845956
-5,503,24.443295
-5,544,25.000072
-5,526,25.579084
-5,616,26.210441
-5,468,28.796761
-5,566,29.498586
-5,605,30.514782
-4,677,33.234525
-5,606,33.877686
-5,539,34.485616
-4,611,35.115751
-5,473,37.469768
-5,588,38.074867
-5,573,38.726303
-5,468,39.257397
-5,558,41.903535
-5,594,42.626673
-5,512,43.168887
-5,770,46.191648
-5,668,46.878299
-5,571,47.458759
-5,381,47.851347
-5,587,50.423417
-5,522,50.960699
-5,537,51.51729
-3,725,54.163219
-5,624,54.809155
-5,499,55.336809
-5,823,58.248279
-5,408,58.662741
-5,461,59.146215
-5,652,59.811498
-5,696,62.599465
-5,614,63.482078
-5,397,64.057029
-5,798,65.165952
-5,432,67.9054
-5,616,68.623388
-5,604,69.343827
-5,485,71.97891
-3,988,73.061864
-5,658,73.931032
-5,771,76.573975
-5,504,77.090134
-5,583,77.69908
-4,792,80.402238
-4,705,81.133401
-5,609,81.758348
-5,853,84.530947
-5,501,85.056901
-5,786,85.870732
-5,603,88.554777
-4,699,89.307755
-5,609,89.938671
-5,461,90.414016
-3,903,93.426082
-5,535,94.013801
-4,763,97.414123
-5,448,97.991136
-5,678,98.805619
-5,646,99.472893
-5,505,102.217016
-4,553,102.798462
-4,754,103.712502
-5,485,107.531183
-4,589,108.288671
-4,618,109.035494
-4,902,113.252323
-5,409,113.968599
-5,732,115.228639
-5,836,118.489897
-5,511,119.024559
-5,678,119.728787
-5,615,120.367787
-4,913,124.000306
-5,519,124.793411
-5,643,125.692245
-5,650,128.92835
-5,624,129.931956
-5,777,131.575249
-5,611,135.51307
-5,548,136.069262
-5,515,136.594363
-4,807,139.848567
-3,1023,141.636497
-4,783,145.538709
-5,738,146.85395
-5,492,150.503496
-5,531,152.515529
-4,582,161.325527
-5,807,163.097396
-5,570,165.058946
-5,579,171.588311
-5,578,172.192704
