time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/n_updates
1,-4.666666666666667,591.3333333333334,2048,795,2,,,,,,,,,,
2,-4.857142857142857,548.0,4096,544,7,0.02407662570476532,0.03308135371771641,0.050830078125,-2.074634334445,0.0003,0.007848505,-0.2112959623336792,0.2,-0.006965741424937733,10
3,-4.9,590.1,6144,492,12,-0.028672289103269577,0.020025421351601836,0.052392578125,-2.062058462947607,0.0003,0.008423712,0.6961043179035187,0.2,-0.008247786924766843,20
4,-4.928571428571429,573.5,8192,491,16,0.0033649979159235954,0.01744218491949141,0.02646484375,-2.0561663553118708,0.0003,0.0056950906,0.7179602980613708,0.2,-0.006305605680972803,30
5,-4.944444444444445,546.1666666666666,10240,476,21,-0.02167424187064171,0.015351563128933775,0.072265625,-2.0401835046708583,0.0003,0.008207092,0.8195007145404816,0.2,-0.00866847575380234,40
6,-4.954545454545454,555.6363636363636,12288,480,25,0.006563754752278328,0.016048241317912472,0.0458984375,-2.0442843690514563,0.0003,0.006105924,0.8284236341714859,0.2,-0.0070799795241327955,50
7,-4.96,567.6,14336,484,29,-0.006114332005381584,0.012134491582401097,0.0533203125,-2.022926424443722,0.0003,0.008530224,0.85032619535923,0.2,-0.007711717173515353,60
8,-4.928571428571429,574.1428571428571,16384,488,33,0.005008000880479813,0.016255356902547646,0.050390625,-2.012880345061421,0.0003,0.0076408973,0.7824965566396713,0.2,-0.008047326357336715,70
9,-4.90625,575.28125,18432,490,37,-0.010971056297421455,0.018553259648615494,0.03681640625,-2.015267077088356,0.0003,0.006196966,0.7809821367263794,0.2,-0.005907163241499802,80
10,-4.914285714285715,570.7142857142857,20480,491,41,-0.010161583311855793,0.019470744697900954,0.039990234375,-1.9984074786305428,0.0003,0.0068376726,0.7238608300685883,0.2,-0.008300114603480324,90
11,-4.921052631578948,577.078947368421,22528,489,46,-0.0030405819416046143,0.014431604875426274,0.06279296875,-2.0005265336483715,0.0003,0.0069083795,0.8263096660375595,0.2,-0.007351788780943025,100
12,-4.928571428571429,574.0238095238095,24576,489,50,0.007199261803179979,0.013292067582369782,0.04501953125,-2.0012396458536386,0.0003,0.007708943,0.8433402627706528,0.2,-0.005049841249274323,110
13,-4.891304347826087,577.0,26624,489,54,-0.005354852415621281,0.017059419659199195,0.024609375,-1.9940581407397986,0.0003,0.0048875916,0.8074761927127838,0.2,-0.005223992650280706,120
14,-4.8979591836734695,574.265306122449,28672,485,59,-0.023883385583758354,0.017477045435225592,0.064404296875,-1.9549967672675848,0.0003,0.009563243,0.7774156928062439,0.2,-0.008222579777066131,130
15,-4.903846153846154,583.6538461538462,30720,478,64,-0.00233886344358325,0.015105294593377038,0.0876953125,-1.9531631670892238,0.0003,0.0075676036,0.8417782336473465,0.2,-0.00951403149520047,140
16,-4.910714285714286,577.6428571428571,32768,468,69,-0.016332753002643585,0.011714951696922072,0.04892578125,-1.9430708412081004,0.0003,0.006339336,0.8704237043857574,0.2,-0.006047908463369822,150
17,-4.915254237288136,577.271186440678,34816,462,75,-0.010923665016889572,0.013832937245024369,0.0267578125,-1.9475587137043475,0.0003,0.0061310297,0.8438126593828201,0.2,-0.0057120367848256135,160
