time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/learning_rate,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/loss
1,727,2048,2,605.0,-4.666666666666667,,,,,,,,,,
2,442,4096,9,538.7142857142857,-4.857142857142857,0.035498046875,0.0003,10,0.007996958,-0.007663889911054866,0.048214141017524526,0.2,-1.5791912078857422,-2.074981867522001,0.019597919657826424
3,448,6144,13,539.3636363636364,-4.909090909090909,0.037451171875,0.0003,20,0.006749436,-0.006868715641030576,0.023929111359757373,0.2,0.35488730669021606,-2.0707061529159545,-0.0043990351259708405
4,462,8192,17,528.2666666666667,-4.933333333333334,0.046728515625,0.0003,30,0.008380815,-0.008097359658859205,0.014033729633956682,0.2,0.6827463507652283,-2.05963267236948,-0.010986866429448128
5,450,10240,22,516.6315789473684,-4.947368421052632,0.06015625,0.0003,40,0.007747895,-0.00846845449268585,0.014907892019255086,0.2,0.7574989795684814,-2.061152032017708,-0.007210074923932552
6,432,12288,28,521.9130434782609,-4.956521739130435,0.065234375,0.0003,50,0.009336673,-0.009231026863562874,0.014885291297832736,0.2,0.8059795498847961,-2.0490550443530084,0.02655746042728424
7,434,14336,33,530.2222222222222,-4.925925925925926,0.0548828125,0.0003,60,0.009009445,-0.00633697706143721,0.012546525658399333,0.2,0.8329100161790848,-2.0297339662909506,-0.0006538480520248413
8,431,16384,37,545.2666666666667,-4.866666666666666,0.085693359375,0.0003,70,0.009230805,-0.01068100603588391,0.021029800217365845,0.2,0.7286761403083801,-2.0094914607703687,-0.00819889735430479
9,439,18432,41,547.8787878787879,-4.878787878787879,0.0685546875,0.0003,80,0.0075852796,-0.008476688097289298,0.02369787266216008,0.2,0.6798665821552277,-2.0006033930927516,0.016543850302696228
10,442,20480,46,551.5833333333334,-4.888888888888889,0.070703125,0.0003,90,0.008686703,-0.00923096731712576,0.016294640218256974,0.2,0.8154036104679108,-1.9856186993420124,-0.01767628639936447
11,447,22528,50,559.3,-4.9,0.060595703125,0.0003,100,0.007471934,-0.009549483003502246,0.01643633725470863,0.2,0.8089081943035126,-1.9874545201659202,0.0035146698355674744
12,452,24576,54,555.5581395348837,-4.883720930232558,0.047216796875,0.0003,110,0.007267763,-0.007847589115408482,0.014948201971856178,0.2,0.8495194911956787,-1.9878207366913556,-0.010790088213980198
13,455,26624,58,561.468085106383,-4.872340425531915,0.05263671875,0.0003,120,0.007250283,-0.00887977767852135,0.019410051303566433,0.2,0.8173387348651886,-1.9782629255205393,0.01863264851272106
14,459,28672,62,557.0588235294117,-4.882352941176471,0.04912109375,0.0003,130,0.007240911,-0.009140775111154653,0.018850475702492986,0.2,0.7998982071876526,-1.9770507864654063,-0.009833699092268944
15,462,30720,66,557.5636363636364,-4.872727272727273,0.031298828125,0.0003,140,0.0065925606,-0.005042297013278585,0.014176745953591308,0.2,0.8629501014947891,-1.966296274960041,-0.003626932157203555
16,465,32768,70,556.551724137931,-4.879310344827586,0.074169921875,0.0003,150,0.0080331955,-0.00871810579483281,0.01647449347510701,0.2,0.8195542246103287,-1.9445594746619463,-0.02194126509130001
17,468,34816,74,563.3770491803278,-4.868852459016393,0.0453125,0.0003,160,0.005964666,-0.005980528240615968,0.015127326648507734,0.2,0.8459736704826355,-1.9401660803705454,0.02559608221054077
18,471,36864,78,567.0307692307692,-4.876923076923077,0.061962890625,0.0003,170,0.009121035,-0.010574361844919621,0.021662101053516382,0.2,0.7862675040960312,-1.919706405326724,0.027868017554283142
19,473,38912,82,572.4179104477612,-4.880597014925373,0.07109375,0.0003,180,0.009102835,-0.0086353316786699,0.01141344940988347,0.2,0.8471308648586273,-1.9138785600662231,-0.02602371759712696
20,476,40960,86,578.2285714285714,-4.885714285714286,0.07529296875,0.0003,190,0.007772172,-0.006709074346144916,0.015075234824325889,0.2,0.8382315784692764,-1.8750715751200915,-0.017164280638098717
21,473,43008,90,578.4459459459459,-4.891891891891892,0.082470703125,0.0003,200,0.008590078,-0.01121689685533056,0.013774880147684599,0.2,0.8584306687116623,-1.8517652187496423,-0.016987305134534836
22,465,45056,96,583.8311688311688,-4.883116883116883,0.0490234375,0.0003,210,0.0066015916,-0.005815357567189494,0.01749025577082648,0.2,0.8250429630279541,-1.8843804128468036,0.013606946915388107
23,467,47104,100,585.9746835443038,-4.886075949367089,0.054248046875,0.0003,220,0.007031339,-0.008331423893105238,0.0164805659733247,0.2,0.7748725712299347,-1.8644959881901741,-0.0047689639031887054
24,468,49152,104,591.3614457831326,-4.879518072289157,0.059619140625,0.0003,230,0.008150293,-0.006028347530809696,0.016287099487090017,0.2,0.8027775287628174,-1.8602266628295183,0.007850658148527145
25,465,51200,109,591.7176470588236,-4.870588235294117,0.05546875,0.0003,240,0.0066903825,-0.009033554731286132,0.013562489808100509,0.2,0.8310514092445374,-1.8840099785476923,-0.019138989970088005
26,449,53248,118,595.6067415730337,-4.865168539325842,0.03134765625,0.0003,250,0.006150134,-0.006103163451189175,0.016755186376394705,0.2,0.7968031615018845,-1.8987143386155367,-0.033717744052410126
27,446,55296,123,599.5434782608696,-4.869565217391305,0.0525390625,0.0003,260,0.006718475,-0.008767297546728513,0.011660129731171764,0.2,0.8478764444589615,-1.8824884947389364,-0.008237115107476711
28,446,57344,128,603.0526315789474,-4.873684210526315,0.07705078125,0.0003,270,0.008967406,-0.010300084065966076,0.01388637508789543,0.2,0.855271503329277,-1.8602877378463745,-0.0011475617066025734
29,448,59392,132,601.795918367347,-4.877551020408164,0.072216796875,0.0003,280,0.0086581465,-0.008034938519995195,0.01411246374118491,0.2,0.8275476545095444,-1.859144616499543,-0.031626977026462555
30,450,61440,136,598.82,-4.89,0.07734375,0.0003,290,0.007893097,-0.009133779217518168,0.018000734761881177,0.2,0.796542227268219,-1.849038030579686,-0.018626632168889046
31,452,63488,140,602.79,-4.89,0.09326171875,0.0003,300,0.009726252,-0.009992338128358823,0.010406164318555965,0.2,0.8447606861591339,-1.837556168437004,-0.013902878388762474
32,451,65536,145,603.99,-4.88,0.078173828125,0.0003,310,0.009372003,-0.009190970024064882,0.010285167815891328,0.2,0.8818315714597702,-1.8093141708523035,-0.030353089794516563
33,449,67584,150,608.16,-4.88,0.06240234375,0.0003,320,0.008143561,-0.009187900545657612,0.021581402799347414,0.2,0.7419159710407257,-1.8003384348005056,0.027774523943662643
34,451,69632,154,609.24,-4.88,0.072216796875,0.0003,330,0.0067058066,-0.01257260070706252,0.012649241815233836,0.2,0.8105907738208771,-1.8160352494567633,-0.010149702429771423
35,453,71680,158,613.97,-4.88,0.0681640625,0.0003,340,0.008062922,-0.009807067931251367,0.013056869654974435,0.2,0.8195832818746567,-1.8216389779001474,-0.003919237293303013
36,453,73728,162,616.61,-4.88,0.065087890625,0.0003,350,0.008396935,-0.00838991763012018,0.010918511313502677,0.2,0.8696717619895935,-1.803647307306528,-0.012376097030937672
37,452,75776,167,620.31,-4.88,0.05673828125,0.0003,360,0.007822721,-0.008972179216652876,0.012308471735013881,0.2,0.8325062990188599,-1.767301232740283,0.008130772039294243
38,451,77824,172,618.79,-4.89,0.063525390625,0.0003,370,0.007221393,-0.007813834000262431,0.011437743013811997,0.2,0.8532228618860245,-1.75857804864645,-0.0014652824029326439
39,452,79872,176,616.34,-4.9,0.045458984375,0.0003,380,0.006861517,-0.007941749307792633,0.01307393260722165,0.2,0.8422508239746094,-1.7860411878675222,-0.022263912484049797
40,446,81920,183,618.62,-4.9,0.0595703125,0.0003,390,0.0071211644,-0.009247736403631279,0.01564204546448309,0.2,0.7605912685394287,-1.781154278665781,-0.03440316021442413
41,445,83968,188,615.3,-4.9,0.07470703125,0.0003,400,0.0074818414,-0.008679213443247135,0.01074336126257549,0.2,0.8516253232955933,-1.7909306410700083,0.0037159111816436052
42,446,86016,192,618.31,-4.91,0.072802734375,0.0003,410,0.008563275,-0.009005104665811814,0.01320091466041049,0.2,0.8374703973531723,-1.811775878071785,0.007521556690335274
43,447,88064,196,616.59,-4.92,0.101708984375,0.0003,420,0.010233503,-0.01233057721547084,0.017062367421749512,0.2,0.7700205445289612,-1.7734300151467324,-0.007187116891145706
44,443,90112,203,620.78,-4.92,0.088623046875,0.0003,430,0.009233883,-0.010148519478389063,0.01481945375999203,0.2,0.7974105030298233,-1.7929840166121722,0.004275707993656397
45,437,92160,210,617.04,-4.93,0.0595703125,0.0003,440,0.0075583286,-0.006102611476671882,0.01298541869255132,0.2,0.8033826947212219,-1.7851554103195668,-0.03195878490805626
46,436,94208,215,618.67,-4.93,0.0529296875,0.0003,450,0.0071660336,-0.010612739614589372,0.01796205270366045,0.2,0.7661625742912292,-1.7897344682365657,0.012095052748918533
47,435,96256,220,614.6,-4.92,0.084619140625,0.0003,460,0.00925127,-0.009465561395336409,0.01704573861643439,0.2,0.8053470104932785,-1.7755694519728422,0.0035359030589461327
48,434,98304,226,611.45,-4.92,0.101416015625,0.0003,470,0.009520723,-0.014562382672011154,0.022833017964148893,0.2,0.7547958195209503,-1.77285838983953,0.0283463504165411
49,435,100352,230,602.91,-4.92,0.07265625,0.0003,480,0.008853806,-0.009557430959102931,0.011492210557480575,0.2,0.854250967502594,-1.7345329020172358,-0.022374089807271957
50,436,102400,234,598.21,-4.92,0.06259765625,0.0003,490,0.0066059195,-0.011149598295742181,0.01365780493360944,0.2,0.8414016366004944,-1.7266191218048335,-0.02559054270386696
51,437,104448,238,590.96,-4.93,0.086083984375,0.0003,500,0.008558219,-0.011477865826236666,0.015157320226717275,0.2,0.8341448605060577,-1.7091227889060974,-0.015231494791805744
52,438,106496,242,586.66,-4.93,0.06630859375,0.0003,510,0.0076752743,-0.00896827966789715,0.011473992952960543,0.2,0.8502085506916046,-1.7033784307539463,-0.005973245948553085
53,439,108544,246,585.1,-4.94,0.0505859375,0.0003,520,0.006642376,-0.009023527448880487,0.016430100171419326,0.2,0.7841094583272934,-1.668581373989582,-0.009339941665530205
54,440,110592,250,583.58,-4.95,0.06474609375,0.0003,530,0.0069953967,-0.008766831395041664,0.01513066352054011,0.2,0.7635966241359711,-1.6280820772051812,-0.0252298004925251
55,440,112640,255,581.26,-4.95,0.092822265625,0.0003,540,0.0095874695,-0.012468818433990236,0.0104900456732139,0.2,0.8504279851913452,-1.5954573705792428,-0.0009346653241664171
56,441,114688,260,585.7,-4.94,0.051904296875,0.0003,550,0.0068309023,-0.007452997988730203,0.013173590785299893,0.2,0.8150790184736252,-1.5858710806816816,-0.005179319065064192
57,441,116736,264,581.98,-4.94,0.086865234375,0.0003,560,0.007820212,-0.011269650419126264,0.015459009414189494,0.2,0.7727362513542175,-1.5759467478841542,-0.013126258738338947
58,440,118784,269,584.74,-4.94,0.053564453125,0.0003,570,0.005498042,-0.009761657479975839,0.012868381397856865,0.2,0.834253340959549,-1.5944485154002905,-0.018339205533266068
59,438,120832,275,583.08,-4.94,0.062060546875,0.0003,580,0.0076992013,-0.007985353912954452,0.01951956978882663,0.2,0.7630312889814377,-1.5752359326928853,0.007936366833746433
60,439,122880,279,579.14,-4.95,0.100732421875,0.0003,590,0.009634741,-0.011735527240671218,0.011672135310800514,0.2,0.8374095261096954,-1.510567980632186,-0.007810801267623901
61,439,124928,284,590.55,-4.94,0.0896484375,0.0003,600,0.00906085,-0.008311421095277183,0.016193852585274726,0.2,0.7674746513366699,-1.5122544512152671,-0.03015035390853882
62,438,126976,289,590.89,-4.93,0.043994140625,0.0003,610,0.006566985,-0.007704612231464125,0.01773218105881824,0.2,0.74474036693573,-1.468917203694582,-0.005367284640669823
63,438,129024,294,596.24,-4.92,0.05576171875,0.0003,620,0.006561837,-0.0077128636428824395,0.015941942279459907,0.2,0.7929658591747284,-1.440390459820628,-0.004226419609040022
64,439,131072,298,595.6,-4.92,0.051025390625,0.0003,630,0.005447185,-0.007531454634590773,0.02192073072656058,0.2,0.7414317727088928,-1.4523895025253295,0.0019980818033218384
65,439,133120,302,593.55,-4.91,0.046240234375,0.0003,640,0.0061132447,-0.007933530560694634,0.012728176502423593,0.2,0.851141020655632,-1.4168974060565234,-0.023306401446461678
